Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,Temperature_C,Humidity_Percent,Soil_Type,Soil_pH,Nitrogen_kg_ha,Phosphorus_kg_ha,Potassium_kg_ha,Soil_Moisture_Percent,Irrigation_Type,Crop_Variety,Sowing_Month,Harvest_Month,Growing_Days,Soil_Fertility_Index,Pest_Risk_Index,Disease_Risk_Index,Water_Availability_Index,Weather_Stress_Index,Crop_Health_Index
Other Kharif pulses,2019,Kharif,Maharashtra,88528.0,38650,1555.8,15205569.28,32755.36,0.340689655,30.3,73.9,Loamy,6.57,213.5,104.6,115.0,66.9,Borewell,Improved,June,October,115,82.3,23.6,27.4,54.0,13.0,62.3
Rice,2015,Kharif,Andhra Pradesh,1398884.0,4115558,940.7,220897772.4,461631.72,3.091538462,29.8,71.6,Clay,6.85,185.6,72.7,80.7,52.4,Canal,Hybrid,June,October,134,64.1,41.1,55.7,47.5,20.1,55.0
Bajra,2008,Summer,Gujarat,174600.0,426100,746.1,24974784.0,15714.0,2.4865,33.9,40.1,Black,7.4,165.4,53.6,64.1,48.5,Borewell,Local,February,May,84,56.2,29.2,25.6,38.2,41.7,56.6
Masoor,2017,Rabi,Uttarakhand,9500.0,6582,1475.8,1495680.0,3610.0,0.657692308,16.6,62.6,Loamy,6.83,221.0,86.9,96.1,72.8,Borewell,Improved,November,March,117,63.0,11.9,26.1,63.6,31.0,66.0
Groundnut,1998,Rabi,Arunachal Pradesh,500.0,400,3616.7,49400.0,145.0,0.751538462,19.3,82.7,Sandy Loam,6.19,118.8,36.6,41.1,68.7,Rainfed,Local,October,February,111,46.2,17.5,33.0,42.7,59.3,43.8
Sesamum,2009,Kharif,Kerala,608.0,206,2821.5,94738.56,103.36,0.28,29.0,95.0,Laterite,5.97,176.1,59.5,72.2,61.6,Rainfed,High Yielding Variety,May,August,86,54.2,11.2,23.9,47.4,14.5,60.5
Sugarcane,2003,Whole Year,Nagaland,2800.0,128890,1709.8,277144.0,672.0,37.28166667,23.8,86.2,Laterite,6.18,84.5,45.8,42.6,71.2,Flood,Hybrid,January,December,343,49.7,39.3,36.9,72.1,46.3,63.9
Peas & beans (Pulses),2015,Kharif,Nagaland,2360.0,3210,1308.3,372667.6,778.8,1.357,22.4,88.4,Loamy,6.32,227.8,79.1,101.4,49.1,Rainfed,Local,June,September,99,71.9,15.2,24.0,31.4,47.9,56.8
Banana,2010,Kharif,Puducherry,266.0,6368,1434.5875,44185.26,63.84,18.06666667,32.2,76.0,Red,6.01,196.8,62.1,100.7,58.9,Canal,Grand Naine,July,June,326,56.1,25.5,53.0,71.3,53.5,54.6
Groundnut,1997,Kharif,Uttar Pradesh,138588.0,124084,473.9,13189419.96,42962.28,0.872727273,27.2,72.4,Loamy,6.12,140.2,32.0,42.7,29.2,Rainfed,TAG 24,July,November,119,51.0,19.1,17.3,0.5,44.6,39.7
Dry chillies,1998,Kharif,Puducherry,8.0,23,1434.5875,790.4,2.32,2.75,27.4,95.0,Alluvial,7.31,158.7,58.5,49.4,70.4,Canal,Local,July,December,163,62.5,43.2,50.0,74.4,36.6,61.0
Maize,1998,Kharif,Sikkim,39463.0,53840,3183.8,3898944.4,11444.27,0.937142857,23.8,95.0,Red,6.13,113.2,35.1,42.2,60.9,Rainfed,Local,June,September,104,43.9,26.2,37.9,63.3,31.7,62.4
Sesamum,2001,Rabi,Nagaland,7580.0,6090,1532.0,774145.4,1970.8,0.836,19.9,72.4,Laterite,5.32,127.2,52.6,37.4,56.8,Rainfed,Local,December,March,90,45.5,21.5,32.9,37.5,41.5,53.9
Moong(Green Gram),1999,Rabi,West Bengal,2375.0,1465,2318.1,252058.75,641.25,0.615,22.5,73.6,Laterite,6.16,118.3,38.1,51.0,65.1,Canal,Hybrid,October,December,68,44.1,22.9,21.1,87.8,42.3,67.6
Rapeseed &Mustard,2015,Rabi,Sikkim,3658.0,3120,2949.1,577634.78,1207.14,0.8275,10.9,68.3,Alluvial,7.52,194.2,89.8,113.8,63.1,Rainfed,High Yielding Variety,November,March,121,66.1,19.8,28.4,50.6,45.7,52.7
Rice,2002,Rabi,Karnataka,50456.0,102312,860.8,4776669.52,12614.0,2.000666667,24.4,41.2,Black,7.2,76.4,43.7,26.8,57.8,Canal,Hybrid,December,April,135,38.1,36.4,28.9,38.1,59.5,52.7
Moong(Green Gram),2009,Kharif,Jammu and Kashmir,890.0,410,751.7,138679.8,151.3,0.512222222,22.6,65.1,Loamy,6.75,190.0,82.0,97.4,27.1,Rainfed,HYV,May,July,69,63.3,20.6,23.9,5.4,41.0,53.9
Horse-gram,1998,Kharif,Tamil Nadu,123050.0,61658,1077.1,12157340.0,35684.5,0.5325,29.5,71.3,Red,6.54,116.0,31.1,48.2,50.9,Drip,Local,July,November,111,49.6,21.8,23.7,49.4,39.0,63.2
Soyabean,2015,Kharif,Nagaland,24860.0,31170,1308.3,3925642.6,8203.8,1.238181818,24.1,87.4,Loamy,6.25,231.1,65.4,84.9,52.0,Rainfed,HYV,June,September,98,72.2,14.9,43.0,29.7,19.3,59.9
Horse-gram,2015,Rabi,Chhattisgarh,3820.0,1036,1136.0,603216.2,1260.6,0.263333333,19.6,57.2,Laterite,6.25,191.1,68.7,85.3,37.4,Rainfed,Improved,November,March,105,62.0,23.7,16.1,17.2,62.1,35.9
Sunflower,2012,Rabi,Karnataka,278912.0,138485,956.2,42059929.6,86462.72,0.575714286,19.5,49.5,Red,5.73,135.3,48.8,84.8,49.8,Canal,Hybrid,October,January,99,47.6,12.9,14.7,53.9,35.6,63.3
Bajra,2005,Kharif,Delhi,1690.0,3031,653.1,202664.8,354.9,1.79,30.7,65.8,Sandy Loam,6.06,126.6,68.7,71.4,37.5,Rainfed,Pusa 383,June,September,82,52.7,29.4,17.3,17.4,20.6,50.2
Sesamum,2018,Kharif,Puducherry,2.0,2,1693.9,324.4,0.7,1.0,29.2,84.6,Red,6.47,229.9,69.3,86.8,70.4,Borewell,Local,July,October,85,73.8,27.5,30.0,72.0,8.2,79.0
Dry chillies,2008,Rabi,Karnataka,5903.0,10002,1164.1,844365.12,531.27,1.681111111,22.1,63.4,Black,7.04,171.1,76.5,64.3,41.9,Rainfed,Local,December,May,154,53.5,40.6,44.5,27.5,54.4,43.0
Linseed,2004,Rabi,Madhya Pradesh,129121.0,55264,895.7,13988969.14,27115.41,0.567446809,16.5,36.4,Loamy,6.99,212.1,58.1,62.6,34.7,Rainfed,High Yielding Variety,November,March,123,59.2,2.5,5.6,16.2,37.9,53.1
Urad,2009,Summer,Puducherry,874.0,101,1434.5875,136186.68,148.58,0.626666667,32.2,60.1,Alluvial,6.65,245.2,83.8,82.8,56.5,Rainfed,HYV,March,June,84,64.5,23.2,27.3,29.0,45.0,47.9
Niger seed,2017,Kharif,Karnataka,4444.0,960,1111.7,699663.36,1688.72,0.207391304,24.9,68.3,Red,6.03,208.3,62.2,88.6,54.9,Drip,Improved,July,October,99,69.7,19.5,8.9,49.7,28.9,55.1
Sweet potato,2018,Rabi,Andhra Pradesh,418.0,8479,1220.5,67799.6,146.3,18.64777778,23.7,62.2,Red,6.39,189.8,74.6,103.4,44.5,Rainfed,Hybrid,December,April,115,60.8,21.5,29.5,23.2,37.1,43.0
Guar seed,2011,Kharif,Punjab,10200.0,8500,705.2,1708704.0,3366.0,0.833333333,30.1,52.3,Sandy Loam,6.47,221.2,96.8,107.3,39.9,Sprinkler,Local,June,September,83,67.8,19.6,14.6,30.2,20.9,58.8
Horse-gram,2003,Kharif,Madhya Pradesh,30880.0,9527,1163.0,3056502.4,7411.2,0.254705882,26.6,62.9,Red,6.12,105.4,49.9,55.8,47.5,Rainfed,Local,June,September,104,41.1,19.4,30.6,30.2,14.2,49.8
Jowar,2014,Kharif,Puducherry,2.0,3,1330.0,301.92,0.66,1.5,29.2,88.6,Alluvial,7.59,203.9,68.5,71.5,50.8,Rainfed,Hybrid,May,September,108,57.5,31.4,41.7,23.6,16.1,42.0
Maize,2011,Summer,Karnataka,31494.0,106783,1178.986364,5275874.88,10393.02,3.159655172,29.5,54.4,Red,6.06,204.7,88.3,95.1,52.3,Borewell,High Yielding Variety,February,June,111,58.5,27.4,37.5,50.0,36.0,64.3
Arhar/Tur,1998,Kharif,West Bengal,2606.0,1672,2152.5,257472.8,755.74,0.756923077,27.0,95.0,Laterite,6.29,99.2,23.5,57.3,51.2,Rainfed,Hybrid,June,November,158,47.8,51.6,45.3,46.4,15.6,49.7
Other Kharif pulses,2013,Kharif,Bihar,2065.0,1629,1069.9,298371.85,557.55,0.8485,30.2,74.4,Alluvial,6.82,186.8,70.7,85.8,51.6,Rainfed,Improved,July,November,108,68.0,25.1,34.2,6.8,42.8,39.5
Wheat,1997,Rabi,Meghalaya,4287.0,6894,3818.2,407993.79,1328.97,1.385,12.7,81.2,Alluvial,6.94,105.1,39.1,45.1,69.5,Rainfed,Local,December,April,135,44.6,9.9,19.5,49.9,38.0,58.8
Bajra,2012,Kharif,Gujarat,334400.0,346800,460.6,50427520.0,103664.0,1.018947368,29.5,48.3,Sandy Loam,6.87,201.7,55.2,80.6,37.7,Borewell,Local,July,October,82,53.2,26.1,31.1,20.6,13.9,64.2
Ragi,2006,Whole Year,Tamil Nadu,95478.0,148148,927.9,12193495.38,21005.16,2.046153846,27.9,61.3,Loamy,6.18,186.5,60.4,72.3,37.7,Drip,Improved,February,June,114,61.4,30.2,19.9,40.6,23.7,48.7
Sesamum,2019,Kharif,Arunachal Pradesh,2058.0,1835,2433.3,353482.08,761.46,0.847619048,27.8,93.0,Laterite,5.41,227.5,84.2,102.4,71.9,Rainfed,Improved,May,August,95,66.7,26.3,25.6,49.0,17.2,54.4
Arecanut,2001,Whole Year,Andhra Pradesh,268.0,449,928.4,27370.84,69.68,1.71,28.8,56.3,Laterite,5.67,111.2,39.9,33.7,50.0,Borewell,Sreemangala,February,February,362,37.8,44.7,45.4,49.9,11.8,40.8
Urad,2015,Kharif,Jammu and Kashmir,6457.0,2180,1572.6,1019624.87,2130.81,0.403333333,21.7,74.7,Black,7.82,218.2,65.4,84.1,60.0,Sprinkler,Local,July,October,87,56.8,17.9,24.6,70.5,40.9,69.1
Garlic,2005,Whole Year,Tamil Nadu,428.0,2561,1364.1,51325.76,89.88,5.854,22.4,70.2,Red,6.54,115.9,36.6,48.6,59.9,Canal,Yamuna,February,June,129,49.4,11.2,12.8,68.4,48.7,62.6
Dry chillies,2002,Whole Year,Tamil Nadu,68566.0,40646,315.9,6491143.22,17141.5,0.640740741,27.7,57.1,Black,8.18,115.9,44.5,44.8,43.1,Borewell,Hybrid,January,July,165,35.0,30.1,31.4,17.3,51.9,41.9
Horse-gram,2009,Kharif,Bihar,10984.0,10578,889.3,1711526.88,1867.28,0.9665,26.4,72.0,Alluvial,6.83,209.3,87.4,93.9,41.6,Rainfed,Local,May,August,104,70.2,12.4,16.5,2.3,27.7,48.8
Rice,2004,Autumn,Puducherry,6237.0,17257,1434.5875,675716.58,1309.77,2.76,29.4,78.2,Clay,6.93,154.6,40.2,59.5,75.2,Borewell,High Yielding Variety,October,February,128,62.1,44.3,58.7,60.4,24.4,62.3
Bajra,2001,Kharif,Delhi,2632.0,5140,611.9,268806.16,684.32,1.95,29.7,69.3,Alluvial,7.47,137.7,52.4,28.4,45.8,Borewell,Local,June,September,78,42.7,45.9,33.0,39.7,0.0,62.5
Peas & beans (Pulses),2001,Rabi,Uttarakhand,3251.0,2370,1541.3,332024.63,845.26,0.655833333,15.6,53.3,Loamy,6.72,159.3,59.0,74.0,62.7,Canal,Local,October,January,101,65.5,21.4,23.3,76.6,23.0,81.2
Jowar,2008,Kharif,West Bengal,1126.0,469,1560.1,161063.04,101.34,0.4,28.5,84.9,Red,5.95,108.4,57.7,59.2,55.9,Rainfed,HYV,May,September,110,52.6,29.2,27.3,31.7,20.1,60.9
Black pepper,2005,Whole Year,Karnataka,14797.0,32414,1316.2,1774456.24,3107.37,2.199230769,25.2,58.4,Red,6.09,131.9,28.1,51.5,61.1,Flood,High Yielding Variety,January,January,356,43.5,27.3,39.1,63.1,7.6,63.7
Arhar/Tur,2014,Kharif,Punjab,2600.0,2390,382.7,392496.0,858.0,0.877777778,29.2,57.7,Alluvial,7.54,179.9,69.5,71.4,49.5,Canal,Hybrid,May,November,179,60.1,19.6,37.9,40.9,17.1,58.8
Groundnut,2009,Kharif,Maharashtra,260400.0,263800,1002.4,40575528.0,44268.0,0.797916667,29.6,63.1,Red,6.45,190.6,68.4,81.0,34.4,Rainfed,Local,May,September,121,66.9,29.5,27.8,23.0,47.5,47.3
Potato,2006,Whole Year,Manipur,2870.0,15010,1533.561905,366527.7,631.4,5.23125,22.6,85.2,Loamy,6.06,156.7,57.6,66.0,51.8,Rainfed,Kufri Jyoti,January,May,109,57.0,23.0,60.2,38.7,57.6,56.7
Rice,2012,Kharif,Chhattisgarh,3982172.0,7848401,1366.8,600511537.6,1234473.32,1.91962963,28.0,73.6,Alluvial,6.6,194.3,70.8,70.6,59.4,Canal,Basmati,June,October,126,64.4,51.0,36.5,75.4,14.0,67.2
Maize,2004,Summer,Karnataka,9056.0,27678,1117.7,981127.04,1901.76,3.007826087,30.5,52.1,Red,5.66,134.7,56.8,53.5,49.8,Drip,Local,April,July,94,49.3,22.8,19.7,54.4,49.7,54.9
Jute,2010,Kharif,Chhattisgarh,542.0,0,1283.1,90031.62,130.08,0.0,29.4,68.2,Laterite,5.41,219.2,84.5,79.3,36.2,Rainfed,JRO 524,July,November,111,58.2,23.4,20.4,21.8,28.0,55.6
Tapioca,2019,Rabi,Puducherry,8.0,196,1317.0,1374.08,2.96,24.5,25.1,66.0,Sandy,7.41,241.1,65.6,72.3,37.4,Rainfed,Improved,October,July,257,62.5,13.1,15.8,18.6,53.7,58.7
Moong(Green Gram),2004,Kharif,Haryana,16039.0,6100,484.6,1737665.26,3368.19,0.148823529,30.5,61.4,Alluvial,6.59,132.8,50.3,63.5,45.1,Drip,HYV,July,September,67,48.3,27.8,33.6,39.6,8.3,67.6
Rapeseed &Mustard,2009,Rabi,Andhra Pradesh,4309.0,2576,711.0,671428.38,732.53,0.3125,17.4,52.9,Loamy,6.26,202.0,75.4,111.1,32.6,Rainfed,High Yielding Variety,December,April,116,58.9,16.8,25.3,11.8,9.2,49.5
Jowar,2014,Kharif,Bihar,1451.0,1550,1061.0,219042.96,478.83,1.075,28.8,77.2,Loamy,6.33,183.9,72.0,94.3,58.7,Canal,HYV,May,September,118,60.8,24.5,17.8,51.3,20.4,60.1
Sugarcane,2013,Whole Year,Goa,872.0,47669,3642.6,125995.28,235.44,48.06,26.5,77.0,Loamy,6.27,179.0,59.3,86.1,79.0,Borewell,Local,January,December,331,67.4,43.6,45.2,93.1,14.7,72.0
Arhar/Tur,2016,Kharif,Uttarakhand,2488.0,2253,1580.9,381286.0,870.8,0.722,22.8,80.4,Loamy,6.7,201.0,76.1,82.7,65.4,Borewell,Pusa 992,July,January,165,69.0,25.6,43.3,65.5,21.9,60.1
Castor seed,2016,Rabi,Andhra Pradesh,527.0,274,890.0,80762.75,184.45,0.52,21.6,45.9,Black,8.28,198.1,75.1,83.1,52.8,Canal,GCH 7,November,April,151,56.8,22.2,4.0,31.1,41.6,51.5
Sesamum,2013,Summer,Puducherry,177.0,146,1083.2,25574.73,47.79,0.82,34.5,59.2,Sandy Loam,6.82,176.1,72.1,69.0,47.5,Rainfed,HYV,April,July,89,56.3,13.3,10.7,15.1,46.3,46.1
Groundnut,1997,Rabi,Arunachal Pradesh,905.0,802,2274.9,86128.85,280.55,0.874615385,20.6,77.3,Black,7.21,107.2,58.6,48.8,71.4,Canal,Hybrid,October,February,110,51.1,37.3,22.3,75.1,39.9,64.0
Moong(Green Gram),2012,Rabi,Karnataka,4868.0,1140,956.2,734094.4,1509.08,0.211818182,25.1,49.1,Laterite,6.07,196.9,56.3,70.3,49.4,Drip,HYV,October,December,68,48.3,1.0,18.0,32.0,47.7,50.4
Coriander,2015,Whole Year,Haryana,2659.0,5697,426.8,419882.69,877.47,2.556190476,22.9,50.2,Alluvial,7.33,243.4,90.1,115.0,51.5,Canal,HYV,February,June,114,67.3,30.1,16.1,36.7,14.8,71.0
Sunflower,2004,Summer,Uttar Pradesh,14432.0,28358,704.0,1563562.88,3030.72,1.970185185,25.1,40.7,Loamy,7.2,115.1,61.5,50.8,40.2,Borewell,HYV,March,June,98,51.5,38.9,23.7,33.8,29.2,65.0
Soyabean,2003,Kharif,Uttar Pradesh,4954.0,5315,1075.6,490346.92,1188.96,1.057619048,27.4,75.4,Black,7.16,109.4,59.3,62.1,68.5,Borewell,JS 335,July,November,106,51.3,37.9,51.2,52.0,14.4,69.2
Sesamum,2005,Kharif,Chhattisgarh,24646.0,7293,1292.7,2955548.32,5175.66,0.29375,29.4,76.3,Black,7.56,150.7,72.3,67.6,50.3,Borewell,HYV,July,October,91,40.9,24.7,30.6,48.0,2.8,57.9
Moong(Green Gram),2000,Kharif,Bihar,9229.0,5165,1207.0,906010.93,2399.54,0.605333333,32.2,79.5,Alluvial,7.33,163.7,38.4,50.3,60.1,Borewell,HYV,July,September,72,49.7,25.8,25.3,51.6,53.0,59.9
Sesamum,2001,Kharif,Uttarakhand,2327.0,400,1541.3,237656.51,605.02,0.180769231,24.7,74.8,Sandy Loam,6.43,122.2,35.9,50.6,44.3,Rainfed,Improved,June,September,93,46.9,40.0,42.4,31.2,51.1,45.5
Groundnut,2007,Rabi,West Bengal,13005.0,21796,2007.5,1734867.0,2080.8,1.619166667,24.7,74.8,Alluvial,7.04,189.7,71.4,79.3,64.7,Canal,TAG 24,December,April,122,70.0,35.2,48.4,67.9,28.7,61.6
Wheat,2004,Rabi,Gujarat,727400.0,1805500,719.8,78806516.0,152754.0,2.6312,20.5,44.7,Alluvial,6.99,153.3,56.6,61.4,56.2,Borewell,Local,October,February,128,53.3,18.6,33.9,35.1,27.2,51.2
Arhar/Tur,2011,Kharif,Andhra Pradesh,478657.0,144679,861.9,80184620.64,157956.81,0.435454545,29.4,66.9,Red,5.72,214.5,74.3,114.6,38.8,Canal,Hybrid,July,December,160,70.2,34.8,39.3,38.7,24.8,60.5
Cotton(lint),1998,Kharif,Punjab,562000.0,595000,588.6,55525600.0,162980.0,1.004,28.8,50.8,Alluvial,7.3,139.0,52.1,69.3,36.8,Canal,High Yielding Variety,May,November,166,48.4,45.3,39.3,39.1,13.7,55.6
Urad,2013,Rabi,Andhra Pradesh,250265.0,196803,1062.3,36160789.85,67571.55,0.759230769,25.3,43.0,Sandy,6.01,148.2,49.5,66.8,55.9,Drip,HYV,December,March,79,41.6,27.9,11.1,40.8,41.1,44.3
Rice,2014,Summer,Assam,416353.0,1224046,1899.0,62852648.88,137396.49,2.613076923,29.8,75.3,Alluvial,7.45,193.3,68.5,88.1,69.2,Rainfed,Local,February,July,150,72.0,38.1,38.9,39.0,37.2,48.8
Jute,2007,Kharif,Nagaland,2450.0,2940,1769.0,326830.0,392.0,1.165,25.9,76.5,Laterite,6.28,133.6,66.7,42.3,60.8,Canal,Hybrid,June,October,113,57.3,22.8,29.6,71.2,34.5,69.9
Tobacco,2006,Rabi,Meghalaya,709.0,468,2454.7,90546.39,155.98,0.58,18.4,90.6,Loamy,6.7,152.4,53.6,65.6,54.0,Rainfed,Virginia,November,March,130,52.7,35.9,42.1,46.5,47.9,37.1
Cotton(lint),2001,Kharif,Gujarat,1749800.0,1703200,666.5,178707074.0,454948.0,1.133529412,27.6,73.0,Alluvial,7.59,167.6,59.2,59.8,44.1,Borewell,Hybrid,July,December,161,56.9,50.4,49.6,29.2,20.6,61.8
